Boiltime,RAGER,GARETZ,MOSHER,TINSETH,NOONAN,DANIELS
0.0,5.0,0.0,0.0,0,5.0,5.0
2.5,5.0,0.0,1.8,2.414,5.0,5.0
5.0,5.0,0.0,3.5,4.598,5.0,5.0
7.5,6.0,0.0,4.8,6.575,5.8,5.0
10.0,6.0,0.0,6.1,8.363,6.5,12.0
12.5,8.0,2.0,7.4,9.981,7.2,12.0
15.0,8.0,2.0,8.7,11.446,8.0,12.0
17.5,10.1,5.0,9.3,12.77,9.2,12.0
20.0,10.1,5.0,9.9,13.969,10.3,15.0
22.5,12.1,8.0,10.6,15.054,11.5,15.0
25.0,12.1,8.0,11.2,16.035,12.7,15.0
27.5,15.3,11.0,11.8,16.924,13.8,15.0
30.0,15.3,11.0,12.4,17.727,15.0,19.0
32.5,18.8,14.0,12.9,18.454,16.1,19.0
35.0,18.8,14.0,13.4,19.112,17.2,19.0
37.5,22.8,16.0,13.9,19.707,18.2,19.0
40.0,22.8,16.0,14.3,20.246,19.3,19.0
42.5,26.9,18.0,14.8,20.733,20.4,19.0
45.0,26.9,18.0,15.3,21.174,21.5,22.0
47.5,28.1,19.0,15.6,21.574,22.6,22.0
50.0,28.1,19.0,15.9,21.935,23.7,22.0
52.5,30.0,20.0,16.2,22.261,24.8,22.0
55.0,30.0,20.0,16.6,22.557,25.8,22.0
57.5,30.0,20.0,16.9,22.824,26.9,22.0
60.0,30.0,20.0,17.2,23.066,28.0,24.0
62.5,30.0,21.0,17.5,23.285,28.2,24.0
65.0,30.0,21.0,17.8,23.484,28.5,24.0
67.5,30.0,21.0,18.1,23.663,28.8,24.0
70.0,30.0,21.0,18.4,23.825,29.0,24.0
72.5,30.0,22.0,18.7,23.972,29.2,24.0
75.0,30.0,22.0,19.0,24.105,29.5,27.0
77.5,30.0,22.0,19.3,24.225,29.8,27.0
80.0,30.0,22.0,19.6,24.334,30.0,27.0
82.5,30.0,23.0,19.9,24.432,30.2,27.0
85.0,30.0,23.0,20.2,24.521,30.5,27.0
87.5,30.0,23.0,20.5,24.602,30.8,27.0
90.0,30.0,23.0,20.8,24.675,31.0,27.0
